%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1748457053932971721,0,1748457053913277034,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
1748457053968496247,1,1748457053953215018,odom,0.0,0.0,0.0,0.0,0.0,8.79087254193e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59488990903e-06,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.77149929,0.0,0.0,0.0,0.0,0.0,0.0,1593.77149929,0.0,0.0,0.0,0.0,0.0,0.0,7.9748140889e-05
1748457053999154909,2,1748457053973209245,odom,0.0,0.0,0.0,0.0,0.0,8.79131206393e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99653799832e-07,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,399.609615948,0.0,0.0,0.0,0.0,0.0,0.0,399.609615948,0.0,0.0,0.0,0.0,0.0,0.0,1.99874562932e-05
1748457054035286499,3,1748457054013209834,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60001218319e-06,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.49207877,0.0,0.0,0.0,0.0,0.0,0.0,1597.49207877,0.0,0.0,0.0,0.0,0.0,0.0,7.99983560931e-05
1748457054066495620,4,1748457054053227037,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60140916705e-06,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.82030618,0.0,0.0,0.0,0.0,0.0,0.0,1598.82030618,0.0,0.0,0.0,0.0,0.0,0.0,8.00648235497e-05
1748457054104629715,5,1748457054073371578,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05940227211e-07,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,405.638185858,0.0,0.0,0.0,0.0,0.0,0.0,405.638185858,0.0,0.0,0.0,0.0,0.0,0.0,2.0289112149e-05
1748457054132776345,6,1748457054113226487,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58837065101e-06,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.89573419,0.0,0.0,0.0,0.0,0.0,0.0,1585.89573419,0.0,0.0,0.0,0.0,0.0,0.0,7.94167177278e-05
1748457054175019769,7,1748457054153217805,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59931369126e-06,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.75585842,0.0,0.0,0.0,0.0,0.0,0.0,1596.75585842,0.0,0.0,0.0,0.0,0.0,0.0,7.99612776985e-05
1748457054206193772,8,1748457054173190468,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98955307901e-07,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,398.748457235,0.0,0.0,0.0,0.0,0.0,0.0,398.748457235,0.0,0.0,0.0,0.0,0.0,0.0,1.99443661469e-05
1748457054229524031,9,1748457054213210432,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60164199769e-06,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.03752482,0.0,0.0,0.0,0.0,0.0,0.0,1599.03752482,0.0,0.0,0.0,0.0,0.0,0.0,8.00758721284e-05
1748457054270083724,10,1748457054253223468,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60105992109e-06,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.48788781,0.0,0.0,0.0,0.0,0.0,0.0,1598.48788781,0.0,0.0,0.0,0.0,0.0,0.0,8.00481500829e-05
1748457054304779463,11,1748457054273566450,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13856469095e-07,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,413.665999599,0.0,0.0,0.0,0.0,0.0,0.0,413.665999599,0.0,0.0,0.0,0.0,0.0,0.0,2.06908112916e-05
1748457054332229427,12,1748457054313275002,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57672911882e-06,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.28783993,0.0,0.0,0.0,0.0,0.0,0.0,1574.28783993,0.0,0.0,0.0,0.0,0.0,0.0,7.88345133651e-05
1748457054369071429,13,1748457054353241892,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59733463079e-06,0.0,0.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.80882888,0.0,0.0,0.0,0.0,0.0,0.0,1594.80882888,0.0,0.0,0.0,0.0,0.0,0.0,7.98636216262e-05
1748457054401707589,14,1748457054373221170,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99071723223e-07,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,399.01252856,0.0,0.0,0.0,0.0,0.0,0.0,399.01252856,0.0,0.0,0.0,0.0,0.0,0.0,1.99575795907e-05
1748457054439647332,15,1748457054413258582,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60292256624e-06,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.4299028,0.0,0.0,0.0,0.0,0.0,0.0,1600.4299028,0.0,0.0,0.0,0.0,0.0,0.0,8.01457106911e-05
1748457054473726566,16,1748457054453707823,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63610093296e-06,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.472776,0.0,0.0,0.0,0.0,0.0,0.0,1633.472776,0.0,0.0,0.0,0.0,0.0,0.0,8.18029647189e-05
1748457054504529014,17,1748457054473263970,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82424332201e-07,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,382.296917185,0.0,0.0,0.0,0.0,0.0,0.0,382.296917185,0.0,0.0,0.0,0.0,0.0,0.0,1.91211882145e-05
1748457054533984334,18,1748457054514352388,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68825499713e-06,0.0,0.0,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.41376769,0.0,0.0,0.0,0.0,0.0,0.0,1685.41376769,0.0,0.0,0.0,0.0,0.0,0.0,8.44086842458e-05
1748457054563460485,19,1748457054553413274,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52562279254e-06,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.43234487,0.0,0.0,0.0,0.0,0.0,0.0,1523.43234487,0.0,0.0,0.0,0.0,0.0,0.0,7.6283826558e-05
1748457054609288192,20,1748457054573569638,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06289473176e-07,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,406.114264976,0.0,0.0,0.0,0.0,0.0,0.0,406.114264976,0.0,0.0,0.0,0.0,0.0,0.0,2.03129348378e-05
1748457054645079506,21,1748457054613393088,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58592592925e-06,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.39706853,0.0,0.0,0.0,0.0,0.0,0.0,1583.39706853,0.0,0.0,0.0,0.0,0.0,0.0,7.92913939192e-05
1748457054675074703,22,1748457054653553002,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61270145327e-06,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.22579581,0.0,0.0,0.0,0.0,0.0,0.0,1610.22579581,0.0,0.0,0.0,0.0,0.0,0.0,8.06369027726e-05
